title,author,isbn,category,totalCopies,availableCopies,publishedYear
Pretty Things,Liz Goldwyn,0060889446,Biography & Autobiography,100,100,2006
Eaters of the Dead,Michael Crichton,0060891564,Fiction,100,100,2006
Genome,Matt Ridley,0060894083,Science,100,100,2006
The Zero,Jess Walter,0060898658,Fiction,100,100,2006
Kitchen Confidential Updated Ed,Anthony Bourdain,0060899220,Biography & Autobiography,100,100,2007
DREAM & THE UNDERWOR,James Hillman,0060906820,Psychology,100,100,1979
The Crying of Lot 49,Thomas Pynchon,006091307X,Fiction,100,100,1966
An American Childhood,Annie Dillard,0060915188,Biography & Autobiography,100,100,1988
Teaching a Stone to Talk,Annie Dillard,0060915412,Literary Criticism,100,100,1988
Holy the Firm,Annie Dillard,0060915439,Literary Criticism,100,100,1988
Think on These Things,Jiddu Krishnamurti,0060916095,Religion,100,100,1989
The Dance of Intimacy,Harriet Lerner,006091646X,Psychology,100,100,1990
Tell My Horse,Zora Neale Hurston,0060916494,Fiction,100,100,1990
Jonah's Gourd Vine,Zora Neale Hurston,0060916516,Fiction,100,100,1990
The Chaneysville Incident,David Bradley,0060916818,History,100,100,1990
The Writing Life,Annie Dillard,0060919884,Literary Criticism,100,100,1990
The Lost Continent,Bill Bryson,0060920084,Travel,100,100,1990
Three by Annie Dillard,Annie Dillard,0060920645,Fiction,100,100,1990
Declarations of Independence,Howard Zinn,0060921080,Political science,100,100,1991
The Complete Stories,Zora Neale Hurston,0060921714,Fiction,100,100,1996
"Legends, Lies & Cherished Myths of World History",Richard Shenkman,0060922559,History,100,100,1994
The Infinite Plan,Isabel Allende,0060924985,Fiction,100,100,1994
Soul Mates,Thomas Moore,0060925752,Psychology,100,100,1994
"Cathedral, Forge and Waterwheel",Joseph Gies,0060925817,History,100,100,1995
The Throne of the Third Heaven of the Nations Millennium General Assembly,Denis Johnson,0060926961,Poetry,100,100,1996
Success Stories,Russell Banks,0060927194,Fiction,100,100,1996
Testaments Betrayed,Milan Kundera,0060927518,Literary Collections,100,100,1996
Mr. Ives' Christmas,Oscar Hijuelos,0060927542,Fiction,100,100,1996
Slowness,Milan Kundera,0060928417,Fiction,100,100,1997
As Nature Made Him,John Colapinto,0060929596,Medical,100,100,2001
The Active Side of Infinity,Carlos Castaneda,006092960X,"Body, Mind & Spirit",100,100,1999
